5.100,3.500
4.900,3.000
4.700,3.200
4.600,3.100
5.000,3.600
5.400,3.900
4.600,3.400
5.000,3.400
4.400,2.900
4.900,3.100
5.400,3.700
4.800,3.400
4.800,3.000
4.300,3.000
5.800,4.000
5.700,4.400
5.400,3.900
5.100,3.500
5.700,3.800
5.100,3.800
5.400,3.400
5.100,3.700
4.600,3.600
5.100,3.300
4.800,3.400
5.000,3.000
5.000,3.400
5.200,3.500
5.200,3.400
4.700,3.200
4.800,3.100
5.400,3.400
5.200,4.100
5.500,4.200
4.900,3.100
5.000,3.200
5.500,3.500
4.900,3.600
4.400,3.000
5.100,3.400
5.000,3.500
4.500,2.300
4.400,3.200
5.000,3.500
5.100,3.800
4.800,3.000
5.100,3.800
4.600,3.200
5.300,3.700
5.000,3.300
7.000,3.200
6.400,3.200
6.900,3.100
5.500,2.300
6.500,2.800
5.700,2.800
6.300,3.300
4.900,2.400
6.600,2.900
5.200,2.700
5.000,2.000
5.900,3.000
6.000,2.200
6.100,2.900
5.600,2.900
6.700,3.100
5.600,3.000
5.800,2.700
6.200,2.200
5.600,2.500
5.900,3.200
6.100,2.800
6.300,2.500
6.100,2.800
6.400,2.900
6.600,3.000
6.800,2.800
6.700,3.000
6.000,2.900
5.700,2.600
5.500,2.400
5.500,2.400
5.800,2.700
6.000,2.700
5.400,3.000
6.000,3.400
6.700,3.100
6.300,2.300
5.600,3.000
5.500,2.500
5.500,2.600
6.100,3.000
5.800,2.600
5.000,2.300
5.600,2.700
5.700,3.000
5.700,2.900
6.200,2.900
5.100,2.500
5.700,2.800
6.300,3.300
5.800,2.700
7.100,3.000
6.300,2.900
6.500,3.000
7.600,3.000
4.900,2.500
7.300,2.900
6.700,2.500
7.200,3.600
6.500,3.200
6.400,2.700
6.800,3.000
5.700,2.500
5.800,2.800
6.400,3.200
6.500,3.000
7.700,3.800
7.700,2.600
6.000,2.200
6.900,3.200
5.600,2.800
7.700,2.800
6.300,2.700
6.700,3.300
7.200,3.200
6.200,2.800
6.100,3.000
6.400,2.800
7.200,3.000
7.400,2.800
7.900,3.800
6.400,2.800
6.300,2.800
6.100,2.600
7.700,3.000
6.300,3.400
6.400,3.100
6.000,3.000
6.900,3.100
6.700,3.100
6.900,3.100
5.800,2.700
6.800,3.200
6.700,3.300
6.700,3.000
6.300,2.500
6.500,3.000
6.200,3.400
5.900,3.000
